Nama Tempat,Lokasi,Kategori,Rating,Jumlah Review,Harga Tiket,Pengikut IG,Fasilitas,Review
Pantai Mutun,Pesawaran,Alam,4.2,5488,30000,1390,Waterboom. Toilet. Kamar Ganti. Warung Makan. Sewa ban. perahu ke pulau tangkil,Pantai dengan pasir yang putih. tempat yang pas buat wisata mantai. tempat parkir yang sangat luas. cocok bersama keluarga.
Pantai Klara,Pesawaran,Alam,4.4,3737,25000,649,parkir luas. sewa saung. kamar mandi. kamar bilas. rental perahu. kedai makanan. banana boat.,masuknya murah di hitung per kendaraan. air dangkal dan hangat. view dari atas jembatan cakep. air lautnya bening. pantainya bersih.
Pulau Pahawang,Pesawaran,Alam,4.8,1200,270000,49000,Resort & villa. Penginapan (cottage di atas laut). penyewaan alat snorkeling. dan perahu wisata.,Rekomendasi wisata yang terkenal dengan keindahan bawah air. bisa liat nemo. seru buat snorkeling. pemandangannya cakep.
Pulau Kelagian,Pesawaran,Alam,4.5,193,15000,1835,Saung-saung untuk bersantai. snorkeling. banana boat. kedai makanan. spot foto yang bagus.,Pasir putihnya bersihhhh banget. ombaknya tenang. pas buat main-main. Warung jualannya pun harganya murah. Cocok deh buat wisata. Ada juga masjid dekat dari pelabuhannya.
Pantai Gigi Hiu,Tanggamus,Alam,4.6,1184,20000,757,Camping / berkemah. spot foto yang bagus,Salah satu wisata pantai terbaik di Kabupaten Tanggamus. namun akses jalannya masih lumayan ekstrem. namun setelah sampai disana dibayar dengan keindahannya.
Pantai Tanjung Setia,Lampung Barat,Alam,4.6,305,15000,800,Terdapat banyak penginapan (bungalow/resort) di pinggir pantai. kafe. surfing dan area parkir.,Di Lampung. kalau mau menikmati pantai yang ombaknya bagus. ke pantai ini adalah tempat yang tepat. Deru ombaknya. hadeuh. kayak berasa dipantai-pantai yang ada di Bali. Gak salah sih pantai ini jadi tempat pavorit buat selancar
Pantai Labuhan Jukung,Pesisir Barat,Alam,4.5,2426,10000,50,area parkir luas. toilet. gazebo. kios makanan/minuman. serta spot foto.,"Pantainya bagus bangett. apalagi kalo cuaca pas cerah
 Bisa lihat orang lagi latihan surfing juga. plus di deket pantai tuh kalo minggu ada kaya bazaar gitu jadi banyak makanan dan jajanan. makannya bisa di pinggir pantai sambil menikmati deburan ombak"
Pantai Walur,Pesisir Barat,Alam,4.5,156,5000,0,"Area parkir yang cukup luas
 Kamar mandi dan toilet yang cukup memadai
 Mushola atau tempat beribadah
 Rumah dan warung makan",Pantai walur adalah salah satu pantai wisata di pesisir barat.krui. lampung.pantai walur sendiri memiliki hamparan pasir putih yang indah dah ombak yg lumayan tenang
Air Terjun Batu Lapis,Tanggamus,Alam,4.7,43,10000,304,"Area Duduk: Menggunakan hamparan batu karang yang luas untuk bersantai sambil menikmati deburan ombak.
 Spot Foto: Seluruh area batuan berlapis sepanjang satu kilometer menjadi daya tarik utama.
 Pemandu Lokal: Tersedia di titik keberangkatan perahu untuk membantu navigasi ke lokasi.",Tidak ada pantai di Batu lapis. tp View cantik Gugusan Batu-batu karang yg berlapis-lapis . bikin tempat ini layak di kunjungi. Akses menuju kesini lumayan lancar. Pemandangan Indah . puas banget worth it
Pantai Sebalang,Lampung Selatan,Alam,3.9,1675,10000,1125,"Kafe & Resto: Berbagai pilihan tempat nongkrong dengan konsep outdoor.
 Spot Foto: Area khusus bertema Bali. termasuk gapura dan dekorasi lampu pantai.
 Akomodasi: Tersedia sekitar 20 kamar homestay dan area camping ground.
 Lainnya: Toilet (berbayar). musala. aula pertemuan. dan terkadang ada live music pada hari tertentu.",yah gw datengnya pas lagi surut. tapi nih pantai kalo lagi pasang kyaknya bagus banget sih.. tidak direkomendasikan utk berenang krna karangnya gede banget
Pantai Batu Rame,Lampung Selatan,Alam,4.4,759,0,166,"Warung makan dan jajanan lokal dengan harga terjangkau.
 Tempat duduk/saung (beberapa tersedia jika membeli dagangan di warung sekitar).
 Area parkir kendaraan.","Ombak gede. bsa liat sunset...
 Pantai free. ada warung+rumah2 an asal beli dagangan ya..bagi2 rezeki.. Cm bayar parkir dikelola akamsi.
 Saran tdk unt berenang banyak batu karang"
Teluk Kiluan,Tanggamus,Alam,4.6,176,10000,5779,"Minimarket: Sudah terdapat Alfamart dan Indomaret sekitar 20 menit sebelum lokasi.
 Toilet & Kamar Bilas: Tersedia di area pantai dan penginapan.",View yg sangat indah. sayang jalanan menuju lokasi masih banyak yg rusak. alamnya indah. warganya ramah
Laguna Gayau,Tanggamus,Alam,4.7,135,6000,0,"Kamar Mandi & Toilet Umum.
 Area Selfie: Spot foto dengan latar belakang kolam alami dan laut lepas.
 Jalur Tracking: Jalur menyusuri bukit menuju laguna.
 Area Parkir: Tersedia di pintu masuk utama sebelum mulai berjalan kaki. 
 Jadesta - Lampung","Pantainya bagus..view nya astetik..airnya jernih
 Bisa buat berenang tp dgn pengasan
 
 Tapi aksesnya cukup melelahkan krn hrs jln kaki kurang lbh 30 menit lewat kebun2 hutan ...sebaiknya pagi atau siang jika ingin ke laguna gayau krn akses Agak seram dan jalanan agak curam dan berlukut
 Tidak di sarankan habis hujan ke laguna gayau krn jalanan licin"
Air Terjun Way Tayas,Lampung Selatan,Alam,4.5,2132,10000,243,"Tempat Ibadah: Tersedia musala untuk pengunjung.
 Kebutuhan Dasar: Kamar mandi/MCK dan tempat parkir.
 Area Bersantai: Gazebo. pondok wisata. dan taman untuk beristirahat.
 Konsumsi: Warung makanan dan rumah makan tersedia di sekitar area.","Tempatnya bagus dan lumayan bersih.
 Bagus untuk spot foto2. airnya jernih sejuk.
 
 Ada beberapa tempat yg kurang perawatan.
 Toilet atau ruang ganti yg sangat kotor pintu rusak. Kolam renang yg ga berfungsi lagi.
 
 Saran. Tambah lagi tempat sampah terutama di area air terjun kawasan gazebo dan jalan menuju tempat air terjun bawah.
 Terutama air terjun bawah yang ga ada sama sekali tempat sampah
 
 Ayo jaga dan rawat sebelum benar-benar t terawat"
Air Terjun 9 Putri,Lampung Selatan,Alam,4.3,70,0,3988,"Area camping dan jalur tracking hutan.
 Kolam alami yang aman untuk berenang karena arusnya yang tenang di titik tertentu.",Saat ini masih di kelola oleh masyarakat. akses jalur nya lumayan enak kalau dari parkir motor lumayan dekat. tidak merekomendasikan menggunakan kendaraan roda 4.
Air Terjun Putri Malu,Way Kanan,Alam,4.4,315,20000,0,"Parkir: Tersedia di titik penitipan kendaraan di pemukiman warga sebelum melanjutkan dengan ojek.
 Fasilitas Dasar: Terdapat toilet/MCK sederhana. namun ulasan pengunjung menyebutkan fasilitas ganti baju atau WC di dekat titik air terjun masih terbatas.",Pemandangan mahal dan eksotis. suasana sejuk di tengah hutan tropis. sangat cocok untuk pecinta petualangan dan tantangan.
Air Terjun Batu Putu,Bandar Lampung,Alam,4.1,405,20000,52,"Area parkir yang luas.
 Mushola.
 Kamar mandi/toilet.
 Kolam alami di bawah air terjun untuk bermain air.",suasana hutan yang masih asri. udara sejuk. dan debit air yang cukup deras. Namun. banyak yang memberikan catatan bahwa akses jalan setapak menuju air terjun berupa tangga paving yang licin dan berlumut. sehingga membutuhkan kondisi fisik yang prima dan kehati-hatian ekstra.
